name,pin,joined,address_postcode,address_county,address_country,profession,field_of_practice_when_joined_register,have_specialist_qualification_approved_by_nmc,specialist_qualification,date_registration_to_nmc,country_of_initial_training,date_of_qualification,country_of_initial_registration,nationality,diversity_gender,diversity_ethnicity,diversity_religion
"Parthasarathy, Jing",94F2696W,2019-10-22 15:34:54,testpostcode1,Nonexistentshire,Wales,Midwife,Adult,TRUE,"RN2: Adult nurse, level 2",testdate2,Wales,testdate2,Northern Ireland,British,Male,NA,Religion not stated
"Lucero, Guadalupe",05G3939G,2019-11-11 14:25:21,testpostcode1,N-on-existent,Scotland,Nurse & Midwife,Mental health,TRUE,RHV: Health visitor,testdate1,England,testdate1,Scotland,Other,Male,NA,Jewish
"Fitts, Yosief",84M2074A,2019-03-01 11:12:30,testpostcode2,Nonexistentland,England,Nurse & Midwife,Mental health,TRUE,V200: Nurse independent prescriber (extended formulary),testdate1,Wales,testdate2,Scotland,Other,Other,NA,Other religion
"Lawrence, Nikoma",71S5720X,2019-07-15 10:00:44,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Adult,FALSE,"RNC: Children's nurse, level 1",testdate1,England,testdate1,England,Other,Other,NA,Religion not stated
"Garcia, Kayla",80B7605Z,2019-09-07 05:03:21,testpostcode2,Nonexistentland,Scotland,Nurse,Adult,FALSE,"RNLD: Learning disabilities nurse, level 1",testdate2,Wales,testdate1,England,Other,Other,NA,Other religion
"Zhen, Deisey",82M8566S,2019-01-23 22:46:53,testpostcode2,N-on-existent,England,Midwife,Adult,FALSE,ROH: Occupational health nurse,testdate2,England,testdate1,England,British,Male,NA,Jewish
"Cochrane, Deesta",54U6286J,2019-10-06 02:52:44,testpostcode1,N-on-existent,Wales,Midwife,Adult,FALSE,SPLD: Specialist practitioner: Learning disability nurse,testdate1,Northern Ireland,testdate2,Northern Ireland,Other,Male,NA,Christian
"Cummings, Nicholl",22Y7859I,2019-09-28 04:14:45,testpostcode2,Nonexistentland,England,Nurse,Mental health,TRUE,RSN: School nurse,testdate1,Wales,testdate1,England,Other,Female,NA,Hindu
"Algiere, Adam",27C7665S,2019-06-19 15:25:05,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Mental health,FALSE,"RN4: Mental health nurse, level 2",testdate1,Northern Ireland,testdate2,Northern Ireland,Other,Other,NA,No religion
"Herold, Nicole",90L8308W,2019-11-18 10:03:30,testpostcode2,Nonexistentland,Wales,Midwife,Adult,TRUE,"RN2: Adult nurse, level 2",testdate2,Northern Ireland,testdate1,Wales,British,Male,NA,Other religion
"Thompson, Maria",28L0811W,2019-01-24 02:30:33,testpostcode1,Nonexistentshire,Scotland,Midwife,Adult,TRUE,SPGP: Specialist practitioner: General practice nursing,testdate1,Northern Ireland,testdate1,Northern Ireland,British,Female,NA,Muslim
"Lockett, Quashaya",79B5517I,2019-03-03 08:15:11,testpostcode1,Nonexistentland,Wales,Midwife,Mental health,FALSE,"RN1: Adult nurse, level 1",testdate1,Scotland,testdate2,Scotland,British,Female,NA,Other religion
"Caro, Aimee",30G4425B,2019-06-19 03:25:28,testpostcode1,Nonexistentland,England,Nurse & Midwife,Mental health,TRUE,RFHN: Family health nurse,testdate1,England,testdate1,England,Other,Male,NA,Religion not stated
"Rhodes, Allison",81O4363R,2019-07-17 23:31:32,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Mental health,TRUE,V200: Nurse independent prescriber (extended formulary),testdate1,Outside UK,testdate2,Wales,Other,Male,NA,Jewish
"Nichols, Colton",87Y7320Q,2019-06-13 23:03:51,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Mental health,TRUE,SPDN: Specialist practitioner: District nursing,testdate2,Outside UK,testdate2,Northern Ireland,Other,Female,NA,Other religion
"Cordova, Brandon",42S3079Z,2019-01-06 01:38:04,testpostcode2,N-on-existent,Northern Ireland,Nurse,Mental health,TRUE,SPA: Specialist practitioner: Adult nursing,testdate1,Outside UK,testdate1,Wales,British,Male,NA,Hindu
"Corro, Cristobal",98P1240J,2019-03-09 17:31:01,testpostcode2,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,FALSE,"RNC: Children's nurse, level 1",testdate1,Wales,testdate1,Scotland,British,Other,NA,Religion not stated
"Marlow, Sean",49T9842Q,2019-09-26 14:38:57,testpostcode1,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,TRUE,TCH: Teacher,testdate2,Scotland,testdate2,Scotland,British,Female,NA,Christian
"Wimmer, Simone",58M9939Q,2019-09-03 22:48:21,testpostcode1,Nonexistentland,England,Nurse,Mental health,FALSE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate1,Scotland,testdate2,England,British,Other,NA,Muslim
"Largo, Trevor",60G1475Y,2019-10-10 04:40:53,testpostcode1,Nonexistentland,Scotland,Midwife,Mental health,FALSE,"RN5: Learning disabilities nurse, level 1",testdate2,England,testdate1,Scotland,British,Female,NA,No religion
"Gabriel, Donovan",23P3241Z,2019-09-12 11:52:33,testpostcode1,N-on-existent,Wales,Midwife,Adult,TRUE,V100: Community practitioner nurse prescriber,testdate1,England,testdate1,Scotland,British,Other,NA,Religion not stated
"Perry, Trevon",20W2061F,2019-02-24 01:42:00,testpostcode2,N-on-existent,Northern Ireland,Midwife,Mental health,TRUE,RPHN: Specialist community public health nurse,testdate2,Northern Ireland,testdate2,Northern Ireland,Other,Male,NA,Muslim
"Henson, Khalil",02N0180X,2019-07-18 09:46:54,testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,TRUE,LPE: Lecturer / Practice educator,testdate2,Wales,testdate2,Scotland,British,Male,NA,Other religion
"Graham, Cheyenne",11I2030Y,2019-03-07 05:50:12,testpostcode2,N-on-existent,England,Nurse,Mental health,TRUE,V200: Nurse independent prescriber (extended formulary),testdate2,Scotland,testdate1,England,Other,Female,NA,Muslim
"Myerson-Beard, Brennan",33A3891N,2019-07-04 19:40:10,testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Mental health,TRUE,ROH: Occupational health nurse,testdate2,England,testdate1,Northern Ireland,British,Other,NA,Jewish
"Begaye, Kirsten",56R4519U,2019-10-21 16:39:51,testpostcode1,Nonexistentshire,Wales,Midwife,Mental health,TRUE,RPHN: Specialist community public health nurse,testdate2,Wales,testdate2,Northern Ireland,British,Female,NA,Sikh
"el-Harron, Amatullah",76E7341K,2019-02-27 10:09:00,testpostcode1,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,TRUE,HV: Health visitor,testdate2,Scotland,testdate2,Scotland,British,Female,NA,Religion not stated
"al-Saeed, Fareeda",55U7774N,2019-08-18 20:32:46,testpostcode2,N-on-existent,England,Nurse,Mental health,FALSE,"RNC: Children's nurse, level 1",testdate2,Outside UK,testdate2,Wales,Other,Other,NA,No religion
"el-Islam, Adeeb",94R4335M,2019-12-13 05:00:07,testpostcode2,Nonexistentshire,Wales,Nurse,Adult,TRUE,"RN6: Learning disabilities nurse, level 2",testdate2,England,testdate2,Scotland,British,Male,NA,Other religion
"Huerena Lucero, Miguel",77W2386F,2019-06-21 17:35:58,testpostcode1,N-on-existent,Wales,Midwife,Mental health,TRUE,ROH: Occupational health nurse,testdate1,England,testdate2,Northern Ireland,Other,Female,NA,No religion
"el-Ayub, Awda",28W9189P,2019-04-09 05:31:45,testpostcode1,Nonexistentshire,England,Nurse,Adult,FALSE,"RNA: Adult nurse, level 1",testdate2,Wales,testdate2,England,Other,Female,NA,Muslim
"Bernard, Christopher",84U5868Z,2019-08-31 05:23:32,testpostcode1,N-on-existent,Wales,Nurse,Mental health,TRUE,OH: Occupational health nurse,testdate2,Scotland,testdate2,Northern Ireland,British,Female,NA,Jewish
"el-Jama, Hazeela",89Q0109A,2019-05-18 04:50:24,testpostcode1,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate2,England,testdate2,Northern Ireland,British,Other,NA,Christian
"Westbrooks, Aaron",18G5455K,2019-05-28 10:57:22,testpostcode1,N-on-existent,Northern Ireland,Midwife,Adult,TRUE,RSN: School nurse,testdate1,Scotland,testdate2,Scotland,British,Other,NA,Jewish
"el-Dar, Muslih",24I8024A,2019-07-04 21:13:48,testpostcode1,Nonexistentshire,England,Nurse & Midwife,Mental health,TRUE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,Northern Ireland,testdate1,Northern Ireland,British,Male,NA,Jewish
"Harrington, Tashon",26O3840H,2019-05-03 02:21:16,testpostcode1,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,"RN9: Fever nurse, level 2",testdate2,England,testdate1,Scotland,British,Female,NA,Muslim
"Reimer, Christopher",82D7364F,2019-01-21 00:32:57,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Mental health,TRUE,"RN8: Children's nurse, level 1",testdate1,Northern Ireland,testdate2,Scotland,Other,Other,NA,Buddhist
"Sanchez, Andy",89N1057C,2019-03-01 06:15:34,testpostcode1,N-on-existent,Scotland,Midwife,Adult,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate2,Wales,testdate2,Scotland,Other,Other,NA,Buddhist
"Eltayeb, Jasahne",08B1506S,2019-03-26 20:31:25,testpostcode1,Nonexistentshire,England,Nurse & Midwife,Adult,TRUE,TCH: Teacher,testdate2,England,testdate1,Northern Ireland,Other,Male,NA,Jewish
"Dysart, Shaylah",02P4640O,2019-03-18 06:30:21,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,TCH: Teacher,testdate1,Wales,testdate1,Scotland,British,Male,NA,Other religion
"al-Hasan, Atheer",92A6492Y,2019-10-10 04:23:03,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Mental health,TRUE,"RNA: Adult nurse, level 1",testdate2,Wales,testdate1,Northern Ireland,British,Male,NA,Sikh
"el-Rashed, Saabiq",61R4163R,2019-02-19 10:36:14,testpostcode1,Nonexistentshire,Scotland,Midwife,Adult,FALSE,"RN8: Children's nurse, level 1",testdate2,Wales,testdate2,Wales,Other,Other,NA,Sikh
"el-Rehman, Humaidaan",70R5342N,2019-05-27 01:29:26,testpostcode2,N-on-existent,Scotland,Midwife,Adult,FALSE,SPMH: Specialist practitioner: Mental health,testdate2,Scotland,testdate1,Wales,Other,Other,NA,Buddhist
"Secunda, Meghan",75O4191Z,2019-02-01 06:30:26,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Adult,FALSE,OH: Occupational health nurse,testdate1,Wales,testdate1,Wales,British,Other,NA,Hindu
"Devi, Maya",72V8443R,2019-04-19 17:50:13,testpostcode2,N-on-existent,Northern Ireland,Midwife,Adult,TRUE,OH: Occupational health nurse,testdate2,England,testdate2,Northern Ireland,British,Other,NA,No religion
"al-Sadek, Hishma",32M8053H,2019-02-12 06:49:42,testpostcode2,Nonexistentland,Wales,Midwife,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate1,Scotland,testdate2,Wales,Other,Male,NA,Sikh
"Laborin, Evonne",84W4289L,2019-04-15 01:38:42,testpostcode2,Nonexistentland,Scotland,Nurse,Mental health,FALSE,"RNA: Adult nurse, level 1",testdate1,Outside UK,testdate1,Wales,Other,Female,NA,Religion not stated
"Santarosa, Hanako",62X8836V,2019-08-12 04:52:27,testpostcode2,Nonexistentshire,Scotland,Nurse,Adult,TRUE,SPMH: Specialist practitioner: Mental health,testdate1,England,testdate1,England,Other,Female,NA,No religion
"Munoz, Catherine",62O2132Y,2019-02-14 20:17:29,testpostcode1,Nonexistentland,England,Midwife,Adult,FALSE,HV: Health visitor,testdate1,Wales,testdate2,Wales,British,Female,NA,Christian
"Cousins, Dominic",41T8857Y,2019-09-03 12:46:18,testpostcode1,Nonexistentshire,Wales,Nurse,Mental health,FALSE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Northern Ireland,testdate2,Scotland,British,Female,NA,Hindu
"Carter, Jiane",48R3846S,2019-01-13 10:15:56,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Adult,FALSE,RSN: School nurse,testdate1,England,testdate2,Scotland,Other,Male,NA,No religion
"Lopez, Jennifer",31S7699R,2019-10-23 04:41:18,testpostcode1,N-on-existent,England,Nurse & Midwife,Adult,TRUE,SN: School nurse,testdate2,Northern Ireland,testdate1,Wales,British,Other,NA,Buddhist
"Alvizo, Carlene",65K8912M,2019-09-27 09:08:35,testpostcode2,N-on-existent,Wales,Nurse,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate2,Scotland,testdate1,Northern Ireland,Other,Female,NA,Jewish
"al-Ansari, Saafiyya",08F2693K,2019-01-13 03:45:37,testpostcode1,N-on-existent,England,Nurse & Midwife,Adult,FALSE,SPDN: Specialist practitioner: District nursing,testdate2,England,testdate2,England,Other,Other,NA,Buddhist
"Baker, Brooke",90J5254S,2019-02-14 18:08:18,testpostcode2,N-on-existent,Wales,Nurse,Mental health,TRUE,RHV: Health visitor,testdate1,Wales,testdate2,Northern Ireland,British,Female,NA,Sikh
"Handwork, Tyler",04Q1787Y,2019-05-26 14:30:03,testpostcode1,N-on-existent,Scotland,Nurse & Midwife,Mental health,TRUE,"RNLD: Learning disabilities nurse, level 1",testdate1,Northern Ireland,testdate2,Scotland,Other,Other,NA,Jewish
"Bass, Xavier",62K9025X,2019-07-26 03:15:41,testpostcode1,Nonexistentshire,England,Nurse,Adult,TRUE,RFHN: Family health nurse,testdate2,Northern Ireland,testdate1,Wales,Other,Other,NA,No religion
"Whiteplume, Aerika",09J0358J,2019-07-26 12:22:31,testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate1,Outside UK,testdate2,Northern Ireland,Other,Female,NA,Jewish
"Lockett, Quashaya",18W0992R,2019-10-23 06:19:49,testpostcode2,N-on-existent,England,Midwife,Mental health,FALSE,"RN8: Children's nurse, level 1",testdate1,Outside UK,testdate2,Wales,Other,Female,NA,Christian
"Vigil, Brenda",77Q1771T,2019-07-27 01:26:32,testpostcode1,N-on-existent,Wales,Nurse,Adult,FALSE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,England,testdate2,Northern Ireland,Other,Male,NA,Jewish
"Preap, Jemletta",03P2870N,2019-05-09 01:30:08,testpostcode2,Nonexistentland,Wales,Midwife,Mental health,TRUE,ROH: Occupational health nurse,testdate2,Outside UK,testdate2,Northern Ireland,Other,Male,NA,Sikh
"Whiteman, Ian",48D6333C,2019-08-19 23:37:23,testpostcode2,N-on-existent,Scotland,Nurse,Adult,TRUE,TCH: Teacher,testdate2,Outside UK,testdate2,Wales,British,Male,NA,No religion
"Taylor, Joyyre",62D0536Z,2019-03-29 23:29:53,testpostcode2,Nonexistentshire,Scotland,Midwife,Mental health,FALSE,"RN4: Mental health nurse, level 2",testdate2,England,testdate2,Scotland,British,Other,NA,Hindu
"Shakespeare, Cheyenne",60N7507E,2019-12-28 16:05:17,testpostcode2,Nonexistentshire,Wales,Nurse,Mental health,TRUE,SPC: Specialist practitioner: Children's nursing,testdate1,Northern Ireland,testdate2,Northern Ireland,British,Female,NA,Jewish
"Castellanos, Thalia",57F4375M,2019-06-06 05:05:37,testpostcode1,Nonexistentshire,England,Midwife,Mental health,TRUE,"RN4: Mental health nurse, level 2",testdate2,Scotland,testdate2,England,Other,Female,NA,Religion not stated
"Arguello, Alejandro",04F8003W,2019-08-26 10:42:52,testpostcode1,Nonexistentland,Northern Ireland,Nurse,Adult,TRUE,V200: Nurse independent prescriber (extended formulary),testdate1,England,testdate2,Wales,Other,Other,NA,Hindu
"Boyer, Kayla",49X0378U,2019-02-01 13:45:21,testpostcode2,Nonexistentland,Scotland,Nurse,Adult,TRUE,LPE: Lecturer / Practice educator,testdate1,England,testdate2,Wales,British,Male,NA,Sikh
"Cordova, Maya",29X5538Y,2019-02-25 04:57:44,testpostcode2,Nonexistentshire,Wales,Midwife,Adult,TRUE,"RN1: Adult nurse, level 1",testdate2,Wales,testdate2,Northern Ireland,Other,Male,NA,Hindu
"Harris, Julia",82F8937U,2019-01-03 18:19:56,testpostcode2,Nonexistentshire,Northern Ireland,Nurse,Adult,FALSE,"RNLD: Learning disabilities nurse, level 1",testdate1,England,testdate2,Scotland,Other,Other,NA,Jewish
"Briseno, Stephanie",66X0826B,2019-01-08 22:24:59,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,"RN4: Mental health nurse, level 2",testdate1,England,testdate1,Scotland,British,Female,NA,No religion
"Sanchez, Joseph",93C7874J,2019-09-15 16:34:21,testpostcode1,Nonexistentshire,England,Midwife,Mental health,FALSE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,Scotland,testdate2,Wales,Other,Male,NA,Buddhist
"Phoenix, Toure",81V2906Y,2019-08-29 09:59:21,testpostcode1,Nonexistentland,Scotland,Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate1,Scotland,testdate1,Northern Ireland,British,Female,NA,Hindu
"Cook, Kiasia",02A9782L,2019-10-19 11:27:11,testpostcode2,N-on-existent,Scotland,Midwife,Adult,TRUE,"RN9: Fever nurse, level 2",testdate2,Wales,testdate2,Northern Ireland,Other,Other,NA,Sikh
"Rodriguez, Jesse",86F9289W,2019-03-12 05:56:54,testpostcode1,N-on-existent,Northern Ireland,Nurse,Adult,FALSE,ROH: Occupational health nurse,testdate2,England,testdate2,Scotland,Other,Other,NA,Other religion
"el-Nazir, Abdul Lateef",69W0422Q,2019-10-15 20:17:17,testpostcode2,Nonexistentshire,Wales,Nurse,Adult,TRUE,"RN6: Learning disabilities nurse, level 2",testdate1,Scotland,testdate1,England,Other,Female,NA,Other religion
"Wellington, Jonni Lynn",71K2750N,2019-09-06 08:50:49,testpostcode1,Nonexistentland,England,Nurse,Adult,FALSE,"RN9: Fever nurse, level 2",testdate1,England,testdate1,Northern Ireland,British,Male,NA,Christian
"Wildman, Camron",47V9001I,2019-09-18 05:25:36,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,TRUE,"RN8: Children's nurse, level 1",testdate2,Wales,testdate2,England,Other,Other,NA,Sikh
"Weiss, Tayen",29R2639N,2019-01-29 05:04:29,testpostcode2,Nonexistentshire,Northern Ireland,Nurse,Mental health,FALSE,HV: Health visitor,testdate1,Wales,testdate1,Wales,British,Other,NA,Christian
"Paik, Steve",82W9188G,2019-06-07 21:02:54,testpostcode2,Nonexistentshire,Scotland,Nurse,Adult,FALSE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Outside UK,testdate1,Scotland,Other,Male,NA,Christian
"el-Soliman, Raaji",05H9699C,2019-07-22 14:52:19,testpostcode2,N-on-existent,England,Nurse,Adult,FALSE,RPHN: Specialist community public health nurse,testdate1,Scotland,testdate1,England,Other,Female,NA,Other religion
"Candelaria, Matthew",94T2563L,2019-11-17 01:44:48,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Mental health,FALSE,ROH: Occupational health nurse,testdate1,Northern Ireland,testdate2,Northern Ireland,British,Female,NA,Religion not stated
"Gonzales, Genesis",32W8307A,2019-02-12 06:29:45,testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Mental health,TRUE,SPMH: Specialist practitioner: Mental health,testdate2,England,testdate2,Northern Ireland,Other,Other,NA,No religion
"Villanueva, Tarquin",67W3995K,2019-04-30 09:52:52,testpostcode2,Nonexistentland,Wales,Nurse & Midwife,Adult,TRUE,"RN1: Adult nurse, level 1",testdate2,Northern Ireland,testdate1,Wales,Other,Male,NA,Christian
"Chavez, Dilan",26O3840H,2019-07-09 07:55:42,testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,FALSE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,Wales,testdate1,Northern Ireland,British,Male,NA,Christian
"Stevenson, Justin",32K1329N,2019-06-03 12:49:58,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Mental health,TRUE,"RNC: Children's nurse, level 1",testdate1,Northern Ireland,testdate2,Wales,Other,Other,NA,Jewish
"Golba, Mackenzie",65C1132P,2019-09-03 19:10:18,testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Mental health,TRUE,"RN7: General nurse, level 2",testdate1,Outside UK,testdate2,Scotland,British,Male,NA,Sikh
"Cochran, Michael",44M4486Y,2019-02-06 10:22:43,testpostcode2,N-on-existent,Northern Ireland,Midwife,Mental health,FALSE,V200: Nurse independent prescriber (extended formulary),testdate1,Outside UK,testdate2,Scotland,Other,Female,NA,Jewish
"Potter, Matthew",80N9838V,2019-09-26 17:49:21,testpostcode1,Nonexistentshire,England,Midwife,Mental health,FALSE,"RN7: General nurse, level 2",testdate2,Northern Ireland,testdate1,Wales,Other,Female,NA,Buddhist
"David, Charles",02L3892D,2019-02-21 21:23:54,testpostcode2,Nonexistentland,England,Nurse,Mental health,FALSE,"RN6: Learning disabilities nurse, level 2",testdate1,Scotland,testdate2,England,British,Other,NA,Christian
"Ellis, Alexa",22W5411S,2019-08-13 22:01:42,testpostcode2,Nonexistentshire,England,Midwife,Mental health,FALSE,"RNC: Children's nurse, level 1",testdate1,Wales,testdate1,Wales,British,Other,NA,Religion not stated
"Jacket, Brackin",86A2803B,2019-03-08 08:13:24,testpostcode2,N-on-existent,Scotland,Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate2,Northern Ireland,testdate2,Scotland,British,Female,NA,Sikh
"Tovar, Alexxis",47V8894W,2019-05-05 18:56:38,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Adult,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate2,England,testdate1,Scotland,Other,Female,NA,Religion not stated
"Candelaria, Matthew",67X7249S,2019-04-14 18:58:42,testpostcode2,N-on-existent,Northern Ireland,Midwife,Mental health,FALSE,FHN: Family health nurse,testdate1,England,testdate2,England,British,Male,NA,Hindu
"Merritt, Kaleb",18F5889K,2019-02-16 20:28:02,testpostcode2,Nonexistentland,Wales,Nurse & Midwife,Mental health,FALSE,LPE: Lecturer / Practice educator,testdate1,Outside UK,testdate2,Wales,British,Other,NA,Other religion
"Mcclaskey, Blake",76H4475W,2019-05-26 19:46:38,testpostcode1,Nonexistentshire,Scotland,Midwife,Adult,FALSE,"RN5: Learning disabilities nurse, level 1",testdate1,Wales,testdate2,Northern Ireland,British,Male,NA,Hindu
"Yoshimura, Yash",30P1322Z,2019-04-22 00:33:32,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,TRUE,RPHN: Specialist community public health nurse,testdate2,Scotland,testdate1,Northern Ireland,Other,Female,NA,No religion
"Gresham, Jonathan",96F6388V,2019-10-29 04:27:11,testpostcode1,Nonexistentland,Scotland,Nurse,Mental health,FALSE,"RN5: Learning disabilities nurse, level 1",testdate2,Wales,testdate1,Scotland,British,Female,NA,No religion
"Cruz Medel, Iain",60M7276M,2019-06-26 07:47:56,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Mental health,TRUE,SPC: Specialist practitioner: Children's nursing,testdate2,Wales,testdate2,Scotland,British,Male,NA,Sikh
"Mendoza, Renata",06K4650P,2019-07-06 21:27:06,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Adult,FALSE,SPC: Specialist practitioner: Children's nursing,testdate2,Outside UK,testdate1,Scotland,Other,Female,NA,No religion
"Lathrop, Randall",67X4410M,2019-05-04 12:18:46,testpostcode1,Nonexistentland,Scotland,Nurse & Midwife,Adult,FALSE,"RN9: Fever nurse, level 2",testdate2,Northern Ireland,testdate1,Northern Ireland,Other,Female,NA,Hindu
"Mcdaniel, Arthur",94F2696W,2019-06-09 12:10:18,testpostcode2,N-on-existent,Northern Ireland,Nurse,Adult,FALSE,HV: Health visitor,testdate2,Wales,testdate2,England,British,Male,NA,Other religion
"al-Azzam, Insaaf",28T8555Y,2019-04-11 18:01:21,testpostcode1,Nonexistentland,England,Nurse,Mental health,TRUE,RFHN: Family health nurse,testdate1,Northern Ireland,testdate1,Wales,Other,Other,NA,Jewish
"Williams, Tyler",16I6081G,2019-11-26 06:52:33,testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Mental health,FALSE,SPMH: Specialist practitioner: Mental health,testdate1,England,testdate1,Scotland,British,Other,NA,Christian
"Chu, Alyssa",59Z4439G,2019-05-24 20:11:16,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Adult,TRUE,"RNA: Adult nurse, level 1",testdate1,Wales,testdate1,Northern Ireland,British,Female,NA,Muslim
"Eberhart, Cassie",35Q2068F,2019-02-15 05:06:15,testpostcode1,N-on-existent,England,Nurse & Midwife,Adult,TRUE,"RN1: Adult nurse, level 1",testdate2,England,testdate1,Scotland,British,Male,NA,No religion
"Bell, Michael",96Z5730N,2019-05-08 07:29:08,testpostcode2,Nonexistentshire,Wales,Midwife,Mental health,TRUE,"RN5: Learning disabilities nurse, level 1",testdate1,Northern Ireland,testdate1,Northern Ireland,Other,Male,NA,Sikh
