name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Duque, Kevin",62S2649P,2019-04-01 14:10:40,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Reflective discussion,FALSE,FALSE
"Cruz, Lolita",29X2341S,2019-06-09 18:44:00,TRUE,Nurse outside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,FALSE
"Campbell, Justin",85Z4781T,2019-08-26 02:53:49,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,CPD,FALSE,FALSE
"Casias-Espinoza, Vanessa",11A7039R,2019-04-15 14:02:28,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,CPD,TRUE,TRUE
"Lieu, Rhianna",36T9239H,2019-08-17 04:22:28,FALSE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Santio, Angel",75O9638S,2019-05-13 14:57:45,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,FALSE
"Reading, David",53W2085G,2019-05-13 14:57:45,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Practice hours,FALSE,FALSE
"Lopez-Rodriguez, Erica",62Q5339I,2019-01-26 13:17:39,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Mangisel, Melanie",15H4404T,2019-03-18 22:46:22,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Health and character declaration,TRUE,FALSE
"Muniz, Frank",41E2615T,2019-11-14 23:34:25,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"al-Azimi, Fahd",16W6886K,2019-01-29 11:19:31,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,TRUE
"al-Matin, Sajaa",58E0291S,2019-04-30 00:14:50,TRUE,Midwife outside the UK,No,Deceased,Midwife,Written reflective accounts,TRUE,TRUE
"al-Akhtar, Kifaaya",65O2089U,2019-04-12 11:54:43,FALSE,Midwife outside the UK,Yes,Retirement,Midwife,Practice-related feedback,FALSE,FALSE
"Hammond, William",60P8717X,2019-07-07 17:45:23,TRUE,Midwife outside the UK,No,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Berrill, Marcus",25M9394H,2019-10-27 22:45:10,FALSE,Nurse inside the UK,Partial lapse,Retirement,Midwife,CPD,FALSE,TRUE
"Kauffman, Rachel",55J1685X,2019-08-07 14:48:09,TRUE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,TRUE
"Lucas, Elijah",38H7286L,2019-11-23 06:20:44,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Midwife,Health and character declaration,TRUE,FALSE
"Vathanavarin, Chrisna",32O8525S,2019-05-27 01:20:53,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Midwife,CPD,FALSE,FALSE
"al-Sattar, Sanad",34T4101L,2019-02-11 18:29:22,FALSE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,TRUE
"el-Kamali, Khairi",56Z8764S,2019-07-04 03:25:58,TRUE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Mckenzie, Cambria",26W2814Z,2019-01-28 05:38:30,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"Schuster, Dillon",12H0559F,2019-12-19 19:34:44,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Maccormack, Ericka",65T4704C,2019-01-03 06:56:16,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,FALSE
"Drayton, Quiana",31S7699R,2019-01-12 00:20:46,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,TRUE
"al-Hossain, Zaahid",26R9591Y,2019-09-28 23:22:58,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,CPD,TRUE,FALSE
"Anderson, Deidra",02H8511S,2019-06-07 05:14:35,FALSE,Midwife outside the UK,No,Deceased,Nurse,Reflective discussion,FALSE,FALSE
"Serna, Manuel",93C6196Y,2019-03-08 07:47:51,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Kaplan, Jerry",95S1765Z,2019-05-15 11:06:51,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"Bobian-Casey, Paul",91P7505E,2019-05-29 21:48:50,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"Fenton, Seth",18L5369U,2019-06-20 22:35:34,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Practice-related feedback,TRUE,FALSE
"Costa, Mikkayla",49E7580E,2019-06-03 11:54:27,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,FALSE,FALSE
"Nalla, Binh",48R3846S,2019-12-19 00:09:10,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,CPD,FALSE,FALSE
"Harris, Jordan",15M4422B,2019-12-02 08:36:47,TRUE,Nurse outside the UK,Partial lapse,Deceased,Midwife,Confirmation,TRUE,TRUE
"Antwine, Nyeasha",16W2977I,2019-02-05 18:14:53,FALSE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Confirmation,FALSE,TRUE
"Lane, Chelsea",11R0228L,2019-07-14 10:31:09,TRUE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,FALSE
"Hoang, Nico",44C2029O,2019-05-13 13:12:07,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,FALSE,FALSE
"al-Abbas, Sahar",83E9293V,2019-05-03 21:52:04,TRUE,Nurse inside the UK,Yes,Deceased,Midwife,Confirmation,TRUE,FALSE
"Bass, Shelby",64Q7267O,2019-03-03 10:22:21,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Health and character declaration,TRUE,FALSE
"Polk, Ra'Vion",84A8539I,2019-10-26 04:36:11,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Candelaria, Matthew",25N2087Q,2019-08-23 13:18:51,FALSE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Practice hours,FALSE,TRUE
"Benisrael, Benjamin",89B9553G,2019-01-10 07:14:54,FALSE,Midwife outside the UK,Yes,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Thompson, Jason",05R8881E,2019-04-20 18:19:08,TRUE,Midwife outside the UK,Yes,Ill health,Nurse,Practice hours,FALSE,TRUE
"Blevins, Danielle",24K2540U,2019-04-04 18:10:17,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Practice hours,TRUE,TRUE
"Madrigal, Jessica",48K1353H,2019-04-17 16:12:34,FALSE,Nurse outside the UK,Yes,Deceased,Midwife,CPD,TRUE,TRUE
"Wilson, Jared",96Z3668M,2019-12-10 16:03:00,FALSE,Nurse outside the UK,Yes,Retirement,Nurse,Health and character declaration,FALSE,TRUE
"Steiner, Trey",54O4301J,2019-09-04 14:01:21,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Health and character declaration,TRUE,TRUE
"Pojouha, Corbin",39O7916D,2019-11-27 07:01:45,FALSE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"Huner, Mia",70O8301L,2019-01-01 08:27:12,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,FALSE
"Miller, Mareno",86O5824U,2019-11-25 11:36:46,FALSE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Practice-related feedback,TRUE,TRUE
"Gonzalez, Wyatt",10R6077L,2019-03-11 02:54:34,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,TRUE,TRUE
"Garcia, Shiloh",32E5034J,2019-10-15 10:46:18,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice-related feedback,TRUE,FALSE
"Kishi, Kelsy",49U4846N,2019-11-20 22:43:23,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,Reflective discussion,FALSE,FALSE
"Maestas, Selena",02B2603P,2019-09-11 14:07:10,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,CPD,FALSE,FALSE
"Rinder, Stephanie",26V6717L,2019-05-24 03:26:33,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"Ortiz, Logan",69W0093J,2019-07-22 19:21:23,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,TRUE
"Young, Samantha",16I1507J,2019-09-15 11:51:47,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,TRUE
"Lee, Vincent",43A1319G,2019-11-19 10:21:53,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Hernandez, Angel",58X5393X,2019-12-10 22:34:31,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Nurse,CPD,TRUE,FALSE
"al-Mousa, Haani",01L5251J,2019-10-12 19:17:14,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Ortega, Kyla",57K3496L,2019-01-31 03:04:27,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Reflective discussion,TRUE,FALSE
"Arens, Alysia",34V2208L,2019-05-22 13:36:08,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,CPD,TRUE,FALSE
"Velazquez, Jordan",25A6263X,2019-11-14 17:39:15,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"Williams, Hanna",62X8836V,2019-10-17 05:57:21,TRUE,Midwife outside the UK,Yes,Ill health,Midwife,Practice hours,TRUE,TRUE
"Cureton, Jaime",07B0341X,2019-11-22 11:49:26,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,CPD,FALSE,TRUE
"Richardson, Kirsten",52I2728W,2019-03-19 03:18:06,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Confirmation,TRUE,FALSE
"Cano, Margarita",86R9811H,2019-06-01 10:13:44,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Nurse,CPD,FALSE,TRUE
"Stuart, Joshua",45E9825L,2019-07-15 02:46:30,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Confirmation,FALSE,FALSE
"Arviso, Emma",87P4847X,2019-01-13 06:01:38,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,CPD,TRUE,TRUE
"Yu, Hyun Sik",20T0164S,2019-12-20 14:54:34,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Reflective discussion,FALSE,FALSE
"Keller, Asysa",88V8183J,2019-03-31 03:36:21,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Practice-related feedback,TRUE,FALSE
"Grant, Tasia",09M8181D,2019-07-28 19:05:25,FALSE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,FALSE
"Bowser, Tayone",19Y3380N,2019-03-10 02:16:24,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice hours,TRUE,TRUE
"Lozoya, Larysa",89E7608P,2019-08-20 14:18:21,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Montoya, Celeste",13T0560A,2019-02-26 08:08:02,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Turner, Ashleigh",13S7502M,2019-04-25 19:34:25,TRUE,Midwife outside the UK,No,Retirement,Midwife,Health and character declaration,TRUE,TRUE
"Vo, Isabella",65O4823Z,2019-06-11 05:41:34,TRUE,Nurse outside the UK,Partial lapse,Deceased,Midwife,CPD,TRUE,TRUE
"el-Odeh, Abdul Hakeem",86Z5140K,2019-01-03 16:40:37,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,FALSE
"Terhorst, Kayla",35I6138U,2019-08-15 02:58:22,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Practice hours,FALSE,TRUE
"Fulton, Cierra",81C0863W,2019-07-21 08:53:58,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,CPD,TRUE,TRUE
"Watson, Dion",96C5457J,2019-11-27 21:39:29,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Needham, Jonathan",23L1573F,2019-05-10 14:26:33,TRUE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Reflective discussion,FALSE,FALSE
"Robbins, Lindsey",10E9719Y,2019-11-12 16:17:36,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"Gultom, Rianna",02S7719K,2019-01-24 08:26:31,TRUE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Health and character declaration,TRUE,TRUE
"Varghese, Hunter",16U5374Y,2019-08-20 02:54:54,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"Murray, Daniel",41R8182D,2019-07-06 17:00:26,FALSE,Nurse outside the UK,No,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Keliiholokai, Jack",90Q7757E,2019-08-09 03:58:27,FALSE,Nurse inside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,FALSE
"Nguyen, Kea",47J3591J,2019-06-03 09:16:10,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Health and character declaration,FALSE,TRUE
"Bacon, Paul",01R8953U,2019-03-08 19:09:47,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Practice hours,TRUE,FALSE
"Deaguero, Dylan",20A7856W,2019-12-29 07:39:35,FALSE,Nurse inside the UK,Yes,Ill health,Midwife,CPD,FALSE,TRUE
"Al-Yazidi, Alfred",57D8866W,2019-07-20 01:35:37,TRUE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Practice hours,FALSE,TRUE
"Garcia, Tyana",79O2923L,2019-08-28 14:02:47,FALSE,Nurse outside the UK,Yes,Ill health,Midwife,Practice-related feedback,FALSE,FALSE
"Stephens, Wyatt",38R1947N,2019-10-14 23:04:15,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,CPD,TRUE,TRUE
"Vanderpool, Lindsey",55U7758U,2019-06-14 21:18:34,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Confirmation,FALSE,TRUE
"Valdo, Anfernee",53U2886X,2019-05-25 21:50:25,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,FALSE
"Choi, Alexander",45T2878E,2019-04-25 08:34:49,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,TRUE
"Aude, Michelle",90U1082Q,2019-03-12 06:17:00,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice hours,TRUE,FALSE
"Arellano, Taku",46F0595B,2019-03-23 11:42:45,TRUE,Midwife in UK & have submitted intention to practise form,No,Deceased,Nurse,Health and character declaration,FALSE,TRUE
"Santarosa, Hanako",18T8100W,2019-05-19 20:25:29,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Confirmation,TRUE,TRUE
"Devencenty, Spencer",91K5451K,2019-06-08 10:41:33,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Practice-related feedback,TRUE,TRUE
"Leija, Rebeca",97I5856H,2019-09-03 15:20:27,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Reflective discussion,TRUE,FALSE
"Worley, Samuel",46T6475R,2019-04-26 20:12:49,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Practice-related feedback,TRUE,FALSE
"Perez-Ordonez, Joshua",79T9775I,2019-04-28 11:42:01,TRUE,Nurse outside the UK,No,Deceased,Midwife,CPD,TRUE,FALSE
"Tran, Tracey",64M7398Q,2019-11-06 09:17:16,TRUE,Nurse inside the UK,No,Deceased,Midwife,Confirmation,TRUE,TRUE
"Avila-Brewster, Veronica",57I6939L,2019-03-27 23:16:18,TRUE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Health and character declaration,TRUE,TRUE
"Le, Jordan",53W9745Y,2019-10-14 05:52:29,FALSE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Confirmation,FALSE,FALSE
"al-Saade, Munjid",57Q5737L,2019-04-12 15:54:41,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,TRUE
"Ortiz, Sydney",68X2776I,2019-11-26 04:50:38,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,FALSE
"Chavez, David",80N1315F,2019-11-26 02:38:12,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Reflective discussion,TRUE,TRUE
"Sullivan, Jessica",15H4404T,2019-02-20 21:40:21,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,CPD,FALSE,TRUE
"Robertson, Lolita",74W2694G,2019-11-19 19:22:25,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Speier, Victoria",99L6477A,2019-10-12 18:16:54,TRUE,Midwife outside the UK,No,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Asakawa, Ailin",28H3118X,2019-02-14 21:15:55,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,TRUE
"Waldner, Anthony",82W9188G,2019-10-06 13:27:39,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Midwife,Confirmation,TRUE,FALSE
"al-Mohammad, Raafi",91C7223I,2019-06-30 15:09:02,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,TRUE
"Deaguero, Dylan",33J3065U,2019-06-21 10:09:05,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Williams, John",08A5218P,2019-03-18 01:12:28,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"Allred, Alexandria",18J9508D,2019-12-06 06:10:34,TRUE,Nurse inside the UK,Yes,Retirement,Nurse,Health and character declaration,FALSE,TRUE
"Weaver, Alex",62W7103Z,2019-02-25 10:50:35,FALSE,Midwife outside the UK,Partial lapse,Ill health,Midwife,Practice-related feedback,TRUE,FALSE
"al-Uddin, Samraa",26G5092L,2019-07-16 05:41:56,TRUE,Nurse inside the UK,Yes,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"el-Khalifa, Umar",31V8135T,2019-10-11 04:53:13,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Kumagai, Nicolas",33U4132K,2019-01-08 00:06:04,FALSE,Nurse outside the UK,Partial lapse,Deceased,Midwife,Practice-related feedback,FALSE,TRUE
"Casias, Sandra",64Z9789X,2019-03-07 06:01:36,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Written reflective accounts,TRUE,TRUE
"Bartholomew, Dakota",53D3965I,2019-07-02 17:53:41,FALSE,Nurse inside the UK,No,Retirement,Midwife,Practice hours,TRUE,TRUE
"Sabey, Kristin",79U0226R,2019-05-09 06:31:06,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Anderson, Deidra",84Z0924A,2019-12-03 10:02:23,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Nurse,Practice hours,TRUE,FALSE
"el-Madani, Haaniya",62C9903D,2019-10-27 12:33:14,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Reflective discussion,TRUE,TRUE
"Tow, Thomas",43Y3402L,2019-04-17 04:42:01,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,TRUE
"Ameyaw, Decia",56W8162E,2019-06-07 02:11:34,FALSE,Nurse outside the UK,No,Retirement,Nurse,Practice hours,TRUE,FALSE
"Proper, Vanessa",90S4876W,2019-04-30 06:02:00,FALSE,Nurse outside the UK,No,Deceased,Nurse,Reflective discussion,FALSE,FALSE
"Williams, Robyn",67K2941A,2019-06-03 20:58:10,FALSE,Nurse outside the UK,Yes,Deceased,Nurse,Reflective discussion,FALSE,TRUE
"Washington, Ryan",56K2549K,2019-01-02 10:15:36,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,CPD,TRUE,FALSE
"Bagneris, Marissa",86Z6976Q,2019-06-22 06:47:56,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Reflective discussion,FALSE,TRUE
"Mendibles, David",05C0266X,2019-08-01 23:21:51,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Written reflective accounts,TRUE,FALSE
"Krishan, Yasmeen",49X7474P,2019-10-08 04:00:36,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Midwife,CPD,TRUE,FALSE
"Montes, Mariah",53K1502Z,2019-12-04 09:21:21,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Midwife,Written reflective accounts,TRUE,TRUE
"al-Bey, Munsif",45Q5221M,2019-01-12 15:40:06,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,TRUE
"Eberhart, Kevin",38Q6100Z,2019-03-06 20:55:36,TRUE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Health and character declaration,FALSE,FALSE
"Elder, Jacob",90O8478I,2019-08-31 19:50:54,FALSE,Nurse inside the UK,No,Ill health,Midwife,Health and character declaration,TRUE,FALSE
"al-Radwan, Saahira",49O1558L,2019-12-17 10:52:55,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"Zamora, Cody",64R0665X,2019-08-14 09:02:43,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,Written reflective accounts,TRUE,TRUE
"Ehizuelen, Zaire",24P9436O,2019-05-01 00:26:09,FALSE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Practice hours,FALSE,TRUE
"Zinanti, Johnathan",99U0140C,2019-08-26 11:34:55,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,TRUE
"Farley, Summer",86L0852L,2019-10-26 09:52:28,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,FALSE,FALSE
"Lobato, Jeremy",83J0765K,2019-08-16 08:20:39,FALSE,Nurse inside the UK,Yes,Ill health,Midwife,Reflective discussion,TRUE,FALSE
"el-Amin, Kaatima",34H4117C,2019-02-11 11:31:13,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,Practice hours,TRUE,TRUE
"al-Safar, Aseela",48O1612G,2019-02-28 08:55:52,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,TRUE
"Barrows, Delaney",51P4978T,2019-05-04 10:39:22,TRUE,Nurse inside the UK,Partial lapse,Retirement,Nurse,Practice-related feedback,FALSE,TRUE
"Gutierrez, Alejandro",71C5675U,2019-01-25 03:38:09,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,CPD,TRUE,FALSE
"el-Mohamad, Siddeeqa",84L2655B,2019-06-07 21:02:54,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,TRUE,FALSE
"Hasbrouck, Jessica",61I8070L,2019-06-17 14:46:13,FALSE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Practice hours,TRUE,FALSE
"Bodycomb, Mariah",44K7315N,2019-05-25 15:57:16,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
