name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Asmelash, Melanie",28S2743T,2019-09-22 17:03:03,Member fo the public,Reason2,allegationtype2,Information from employer
"Confer, Joshua",82P6967I,2019-10-15 22:42:25,Employer,Reason2,allegationtype1,
"al-Amen, Hakam",15Z4645N,2019-12-14 22:56:09,Member fo the public,Reason2,allegationtype1,Information from employer
"Bowser, Tayone",10S1942C,2019-08-05 11:02:55,Employer,Reason2,allegationtype1,Information from employer
"Parker, Camden",12W8334Z,2019-10-15 16:28:03,Member fo the public,Reason1,allegationtype1,
"Cardenas, Vanessa",46B4319L,2019-10-13 10:49:08,Employer,Reason2,allegationtype1,
"Ward, Jessica",98E9363B,2019-08-23 14:53:22,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Zadeh, Ghaada",81D4499P,2019-09-14 17:32:56,Employer,Reason1,allegationtype1,
"Nasreldin, Brianna",81Z1550U,2019-05-26 15:24:05,Member fo the public,Reason2,allegationtype2,
"Donato, Anthony",74W4176I,2019-11-26 16:26:37,Member fo the public,Reason2,allegationtype1,Information from employer
"Ayele, Nelson",18V9893H,2019-09-18 13:19:34,Member fo the public,Reason1,allegationtype1,Information from employer
"Sanchez, Casandra",48Y0899X,2019-02-07 02:12:16,Employer,Reason2,allegationtype1,
"Lynch, Hunter",65P6247T,2019-08-26 00:58:29,Employer,Reason1,allegationtype1,
"al-Sadek, Hishma",61S2259N,2019-03-11 18:09:03,Employer,Reason2,allegationtype1,
"Richter, Manohar",50E7032U,2019-02-13 07:18:24,Employer,Reason2,allegationtype1,
"Pradhan, Kevin",35W2308M,2019-04-27 15:46:12,Member fo the public,Reason2,allegationtype1,Information from employer
"Friess, William",44A1447W,2019-12-06 15:50:37,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Ishmael, Fawqiyya",99B7844Y,2019-02-21 10:23:03,Member fo the public,Reason2,allegationtype2,Information from employer
"Garcia Trevizo, Perla",57F8299J,2019-11-21 15:15:04,Employer,Reason1,allegationtype2,
"Nguyen, Binyu",10C4682M,2019-01-27 09:16:43,Employer,Reason2,allegationtype1,Information from employer
"Lund, Sean",06G9922L,2019-08-19 23:51:15,Member fo the public,Reason1,allegationtype1,Information from employer
"Cano, Alyssa",43G0950L,2019-06-22 01:14:04,Employer,Reason2,allegationtype2,
"al-Mussa, Silmi",74R2356L,2019-01-26 22:16:24,Member fo the public,Reason2,allegationtype2,
"Schwarz, Robert",78Y5007D,2019-12-19 23:03:44,Employer,Reason1,allegationtype1,
"al-Saleem, Izzaddeen",02L3892D,2019-01-08 19:19:28,Member fo the public,Reason2,allegationtype1,Information from employer
"Herrera, Jennifer",98C3885I,2019-07-18 17:30:01,Member fo the public,Reason2,allegationtype1,Information from employer
"Hasbrouck, Jessica",84W6396M,2019-08-05 11:02:55,Employer,Reason1,allegationtype2,
"Song, Matthew",67A4785K,2019-01-02 10:15:36,Employer,Reason1,allegationtype1,Information from employer
"Brown, Dillon",69T2289Q,2019-12-02 20:38:48,Employer,Reason2,allegationtype1,
"Johnson, Amber",21F1380J,2019-07-16 15:54:12,Member fo the public,Reason1,allegationtype1,
"Cole, Anthony",22O0033A,2019-03-26 17:14:32,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Azer, Nakheel",01B5924I,2019-03-31 23:55:05,Member fo the public,Reason2,allegationtype1,
"Cosby Lee, Hanan",03K1915F,2019-04-11 01:08:02,Member fo the public,Reason2,allegationtype2,
"Cruz, Raul",69V6093I,2019-04-05 12:34:40,Employer,Reason1,allegationtype1,
"L'Hirondelle, Wyona",99Y0444M,2019-07-30 18:25:23,Employer,Reason2,allegationtype1,
"Murray, Simon",11F1378Q,2019-08-05 09:57:15,Member fo the public,Reason2,allegationtype1,
"Chum, Tina",76S4246L,2019-01-09 13:03:52,Employer,Reason1,allegationtype1,Information from employer
"el-Galla, Naadiya",33V3095V,2019-04-20 18:59:25,Member fo the public,Reason2,allegationtype1,Information from employer
"Kreutz, Zachary",17C5097W,2019-04-02 03:47:12,Member fo the public,Reason2,allegationtype2,
"Harper, Sevion",92W0859H,2019-02-14 13:57:14,Member fo the public,Reason1,allegationtype1,Information from employer
"Michel, Brandon",33E6734V,2019-03-03 18:06:15,Member fo the public,Reason2,allegationtype1,
"Mckenzie, Cambria",85C0351I,2019-01-21 12:31:23,Employer,Reason2,allegationtype2,
"Bruner, Samantha",53V5563T,2019-12-06 20:41:13,Member fo the public,Reason2,allegationtype2,
"Angelo, Knieshia",88Q0694E,2019-08-19 16:51:21,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Abood, Aarifa",23L1573F,2019-07-22 11:54:03,Employer,Reason1,allegationtype1,
"Rupp, Phelicia",05R8713I,2019-02-06 23:45:58,Member fo the public,Reason1,allegationtype2,
"Weber, Michael",11I2030Y,2019-01-07 18:07:06,Member fo the public,Reason2,allegationtype2,Information from employer
"Dewberry, Jaliya",74R7548N,2019-01-28 01:57:04,Employer,Reason1,allegationtype2,Information from employer
"al-Abood, Aarifa",05U7152Q,2019-09-23 10:28:09,Member fo the public,Reason1,allegationtype1,
"Strickland, Luke",28B9490A,2019-01-06 01:38:04,Employer,Reason1,allegationtype2,
"Echerivel, Brian",98B9370F,2019-07-20 07:55:44,Employer,Reason1,allegationtype1,
"Schmid, Matthew",23G3550X,2019-08-05 09:57:15,Employer,Reason2,allegationtype1,
"Sun, Jessica",45L9208P,2019-11-11 20:43:52,Member fo the public,Reason1,allegationtype1,
"Nelson, Johnny",41L9230B,2019-05-13 06:33:07,Member fo the public,Reason1,allegationtype1,
"al-Moustafa, Aseel",78Z7244A,2019-04-09 08:05:55,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Azam, Ya'eesh",75E7349N,2019-05-11 12:24:33,Employer,Reason1,allegationtype1,
"Nguyen, Jonathan",68B9441P,2019-06-15 10:21:14,Member fo the public,Reason1,allegationtype1,Information from employer
"Henderson, Jeana",83N2158O,2019-10-14 21:28:26,Member fo the public,Reason2,allegationtype2,
"Vaughns, Elisha",50Z2543P,2019-04-03 13:46:29,Employer,Reason1,allegationtype1,Information from employer
"Franklin-Douglas, Malik",84Y0600P,2019-11-26 03:20:53,Employer,Reason1,allegationtype1,
"Klein, Conor",19S5627K,2019-10-11 01:08:16,Member fo the public,Reason2,allegationtype1,
"King, Mahkalai",24Z5000J,2019-05-02 17:03:11,Employer,Reason1,allegationtype1,Information from employer
"al-Taheri, Faalih",83E5094F,2019-06-17 23:44:20,Member fo the public,Reason2,allegationtype1,
"al-Sadek, Haaroon",33T6156H,2019-12-13 21:11:58,Employer,Reason1,allegationtype1,
"Barker, David",18O8590C,2019-10-20 15:36:59,Employer,Reason2,allegationtype1,
"Leazer, Maurice",11A0539X,2019-08-26 13:54:26,Member fo the public,Reason1,allegationtype2,
"Taylor, Nevin",91T9390L,2019-01-07 19:40:30,Employer,Reason2,allegationtype1,Information from employer
"Underwood, Alexis",52T3146W,2019-04-02 22:11:30,Member fo the public,Reason2,allegationtype2,Information from employer
"el-Baig, Hamda",33K0499W,2019-08-31 19:50:54,Employer,Reason2,allegationtype1,
"Bean, Braden",76Y2486W,2019-07-26 01:07:50,Employer,Reason1,allegationtype1,
"Hurshman, Jacqueline",91C4767M,2019-05-04 00:47:21,Member fo the public,Reason2,allegationtype2,
"Blevans, Alexander",97J2281P,2019-12-01 15:10:22,Employer,Reason2,allegationtype2,
"Tigg, Jordan",92Q6014V,2019-07-27 13:57:23,Member fo the public,Reason1,allegationtype1,
"al-Othman, Adhraaa",77G8434V,2019-10-20 04:33:17,Employer,Reason1,allegationtype2,Information from employer
"Filippazzo, Jamie",67J3695W,2019-07-05 00:32:25,Member fo the public,Reason1,allegationtype2,
"Crawford, Calli",50W7399J,2019-09-21 02:34:41,Member fo the public,Reason2,allegationtype1,
"Lariz, Dominic",48R0413S,2019-12-27 04:06:14,Member fo the public,Reason1,allegationtype1,
"Ballard, Cody",80B7605Z,2019-05-23 03:08:10,Employer,Reason2,allegationtype2,Information from employer
"Pressley, Austin",67J0179N,2019-05-23 11:08:57,Employer,Reason1,allegationtype2,Information from employer
"Antwine, Nyeasha",47I2761M,2019-12-20 14:54:34,Employer,Reason1,allegationtype2,Information from employer
"Candelaria, Nickolas",07M4951P,2019-10-04 10:54:56,Employer,Reason1,allegationtype1,Information from employer
"Foster, Anika",88K7445U,2019-06-23 20:20:03,Employer,Reason2,allegationtype2,Information from employer
"Sorace, Kirstie",22X2388O,2019-02-18 08:22:42,Member fo the public,Reason2,allegationtype1,Information from employer
"Shrum, Cassidy",85Y6019I,2019-04-05 03:27:53,Member fo the public,Reason2,allegationtype1,
"Ackelson, Dallas",33T8889L,2019-11-22 20:10:38,Member fo the public,Reason1,allegationtype1,
"Diep, Cheemeng",70W3633I,2019-06-26 06:54:01,Member fo the public,Reason1,allegationtype1,Information from employer
"Vu, Matthew",33E6734V,2019-01-10 11:23:16,Employer,Reason2,allegationtype2,
"Yamashita, Byung",94L5409C,2019-12-24 22:19:50,Employer,Reason2,allegationtype2,
"al-Sarwar, Raaji",53V2427J,2019-10-28 00:39:44,Employer,Reason1,allegationtype2,Information from employer
"Weaver, Matthew",31P0038K,2019-01-20 23:40:10,Member fo the public,Reason1,allegationtype2,Information from employer
"Herrera, Mai Lien",85H7209I,2019-09-17 00:38:43,Member fo the public,Reason2,allegationtype2,Information from employer
"Zinanti, Johnathan",99K2805C,2019-11-30 03:30:11,Employer,Reason1,allegationtype1,
"Reid, Darryl",58Q8813B,2019-12-13 00:51:25,Member fo the public,Reason2,allegationtype2,Information from employer
"Gamez, Nicolas",97F2696B,2019-07-03 22:04:23,Employer,Reason1,allegationtype1,
"Chu, Nayong",88A4237Z,2019-06-11 05:41:34,Employer,Reason2,allegationtype2,Information from employer
"Gast, Nena",16Q4044P,2019-01-24 00:07:12,Employer,Reason2,allegationtype2,Information from employer
"Patrick, Mikeysna",59Z0564P,2019-06-29 18:15:28,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Zaman, Sajiyya",50R4759U,2019-01-10 10:04:55,Employer,Reason2,allegationtype1,Information from employer
"el-Ayoub, Rida",84K6687L,2019-08-22 20:01:32,Employer,Reason2,allegationtype1,Information from employer
"Ramos-Lozano, Hugo",32O8525S,2019-04-08 20:24:09,Employer,Reason1,allegationtype2,
"Giron Lovato, Johnpaul",14L1525X,2019-01-22 03:02:38,Employer,Reason2,allegationtype1,
"Williams, Siey'Reaq",40Z5304Y,2019-11-08 04:39:06,Employer,Reason2,allegationtype2,Information from employer
"Tan, Lily",02Z5724H,2019-06-20 05:30:58,Employer,Reason2,allegationtype2,
"Boehler, Anna Marie",91U1055D,2019-11-12 03:15:29,Member fo the public,Reason2,allegationtype1,
"el-Shaikh, Manaal",59A9339M,2019-12-28 15:00:05,Employer,Reason2,allegationtype1,Information from employer
"Marmo, Stephanie",42H5222A,2019-08-08 02:53:11,Employer,Reason2,allegationtype2,
"Guillory, Denis",30I4643F,2019-11-26 22:11:51,Member fo the public,Reason2,allegationtype2,
"Montes, Donovan",87F1132P,2019-11-03 11:48:00,Member fo the public,Reason2,allegationtype1,
"Ambrose, Katherine",03Z1034K,2019-05-31 07:57:35,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Zaidi, Sukaina",63P3281G,2019-10-15 16:28:03,Member fo the public,Reason2,allegationtype2,Information from employer
"Montoya, Julia",02A2063M,2019-03-10 16:35:46,Member fo the public,Reason2,allegationtype2,
"Backstrum, Sarah",48B3601K,2019-07-06 23:26:36,Employer,Reason2,allegationtype2,
"Aldaco, Matthew",66B1981K,2019-04-09 23:57:47,Employer,Reason2,allegationtype1,
"Kramer, Lauren",86K7869J,2019-08-15 11:32:07,Employer,Reason2,allegationtype1,
"Pina-Estrada, Garrett",64F3862B,2019-06-11 16:29:47,Member fo the public,Reason1,allegationtype2,
"el-Yousif, Khairi",41K7453N,2019-03-31 16:14:12,Employer,Reason2,allegationtype2,
"Purcell, Ryan",60D8180S,2019-11-26 15:21:01,Member fo the public,Reason2,allegationtype1,
"Penaflor, Wesley",14E9488H,2019-06-12 02:02:37,Member fo the public,Reason2,allegationtype2,
"Garcia, Ezekiel",68G9736G,2019-09-27 23:40:43,Member fo the public,Reason1,allegationtype2,Information from employer
"Dexter, Trey",36N0090U,2019-08-20 20:40:39,Member fo the public,Reason2,allegationtype1,
"Dorosinskiy, Ross",11C8715M,2019-12-04 06:24:41,Member fo the public,Reason1,allegationtype1,
"Miesel, Jonathan",40O6099T,2019-03-06 14:59:49,Employer,Reason2,allegationtype1,
"Deaver, Christopher",71R2109X,2019-06-16 10:46:58,Member fo the public,Reason2,allegationtype2,
"Steege, Patricia",58I3622L,2019-06-10 05:07:49,Member fo the public,Reason1,allegationtype2,
"Moreno, Dawnee",16O5081B,2019-05-27 05:30:31,Employer,Reason1,allegationtype2,Information from employer
"Alvarez, Terrell",91L6710W,2019-04-12 00:46:54,Member fo the public,Reason1,allegationtype1,Information from employer
"Otgonbayar, Matthew",44Q3351X,2019-10-29 10:53:20,Employer,Reason1,allegationtype1,
"Kruk, Garrick",23G3550X,2019-09-20 22:14:45,Employer,Reason1,allegationtype1,Information from employer
"el-Masri, Khulood",89Y1491Z,2019-08-04 00:37:50,Member fo the public,Reason1,allegationtype1,
"Zamora, Destiny",97I5856H,2019-09-25 12:05:52,Member fo the public,Reason2,allegationtype1,Information from employer
"Roseveare, Makanaalohaonalani",77D5411A,2019-04-08 14:05:43,Member fo the public,Reason2,allegationtype1,
"Bock, Sunee",71M9233F,2019-06-21 17:23:31,Member fo the public,Reason1,allegationtype1,Information from employer
"Valdez, Alex",91V2750C,2019-04-19 21:39:47,Employer,Reason1,allegationtype1,
"Lambert, Brianna",73Q8306E,2019-07-05 13:10:11,Employer,Reason1,allegationtype2,
"Johnson, Taran",13S7502M,2019-10-30 14:06:31,Employer,Reason1,allegationtype2,Information from employer
"Burges, Tanner",61D2100D,2019-09-28 14:26:59,Member fo the public,Reason2,allegationtype2,Information from employer
"el-Hashmi, Mufeeda",66K0874Z,2019-04-06 06:27:04,Employer,Reason2,allegationtype1,
"Ugalde, Luis",84S9186Q,2019-10-04 20:31:53,Member fo the public,Reason1,allegationtype1,
"Payan, Orlando",69F4580Z,2019-03-13 23:01:57,Member fo the public,Reason2,allegationtype2,
"Pinelle, Justin",51G8470M,2019-01-21 16:09:51,Member fo the public,Reason1,allegationtype2,Information from employer
"Martin, Exaviah",74D3692G,2019-06-11 05:41:36,Employer,Reason1,allegationtype2,
"Nuanes, Rocio",38I2914F,2019-08-08 23:15:06,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Wahab, Huda",11A7251K,2019-01-28 02:06:31,Employer,Reason2,allegationtype2,Information from employer
"Costelo, Tera",20P9334Y,2019-04-04 11:15:48,Member fo the public,Reason1,allegationtype1,
"Favors, Pranaya",87N2308H,2019-03-25 22:52:31,Member fo the public,Reason1,allegationtype2,
"Patterson, Kayla",75T7284N,2019-12-17 00:01:47,Employer,Reason2,allegationtype1,
"Bechtel, Cheyenne",66I3269I,2019-10-07 03:54:16,Employer,Reason2,allegationtype1,
"Cropper, Hawa",46U2312W,2019-12-29 06:16:01,Employer,Reason1,allegationtype1,
"Hardy, Grant",39V6440K,2019-10-13 02:41:18,Member fo the public,Reason1,allegationtype1,Information from employer
"Roy, Quinten",70V0817H,2019-04-27 23:09:19,Member fo the public,Reason2,allegationtype1,
"el-Demian, Tulaiha",33O2632W,2019-06-18 03:29:08,Employer,Reason2,allegationtype1,Information from employer
"el-Iqbal, Rumaana",61Y3901H,2019-03-14 17:14:11,Employer,Reason1,allegationtype2,
"Otgonbayar, Matthew",31C3088Q,2019-03-14 23:41:28,Employer,Reason2,allegationtype1,Information from employer
"al-Salek, Annnees",97E8028Y,2019-02-21 06:57:23,Member fo the public,Reason1,allegationtype2,
"al-Haidar, Aayaat",79H1031R,2019-03-28 02:31:59,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Amen, Hakam",24E9002L,2019-01-18 21:52:59,Employer,Reason1,allegationtype1,
"Brown, Morgan",47L7018T,2019-08-14 14:20:29,Employer,Reason2,allegationtype2,
"Payton, Christina",69G5922S,2019-09-05 01:17:26,Member fo the public,Reason2,allegationtype1,Information from employer
"Lieb, Alexis",15Q2400G,2019-05-25 09:30:07,Employer,Reason1,allegationtype2,
"Valenzuela, Dennis",08N6128N,2019-06-30 15:36:32,Employer,Reason2,allegationtype1,
"Sadler, Payton",92V4924T,2019-05-29 21:48:50,Employer,Reason1,allegationtype2,Information from employer
"Saiganesh, Eric",92O0752P,2019-04-06 18:46:50,Employer,Reason2,allegationtype1,Information from employer
"Sheahan, Abhi",23B1738R,2019-02-19 05:58:31,Member fo the public,Reason2,allegationtype1,
"Griffin Zavala, Fransico",90H6718W,2019-06-23 00:48:35,Employer,Reason2,allegationtype1,Information from employer
"Sanchez, Michael",25F5317B,2019-07-08 00:29:06,Member fo the public,Reason1,allegationtype1,Information from employer
"Villa, De'Ron",09X4851M,2019-01-29 17:14:04,Member fo the public,Reason1,allegationtype2,Information from employer
"Meza, Fernando",14I5902P,2019-04-20 00:49:34,Member fo the public,Reason1,allegationtype2,
"Chen, Lewis",48V0330D,2019-06-26 07:07:26,Member fo the public,Reason1,allegationtype1,Information from employer
"Sturek, Mary",60T8192N,2019-07-11 14:40:06,Member fo the public,Reason1,allegationtype2,Information from employer
"Lynch, Kaitlin",58K4496N,2019-07-31 14:16:29,Employer,Reason1,allegationtype1,
"Marquez, Devont",05F5563T,2019-01-27 22:21:44,Employer,Reason1,allegationtype1,Information from employer
"Wills, Sara",43P6264X,2019-10-22 02:01:34,Member fo the public,Reason2,allegationtype1,
"Pennington, Rosa",43A7142V,2019-03-17 06:14:52,Employer,Reason1,allegationtype2,
"al-Nawaz, Naaifa",43I3582N,2019-07-16 19:33:27,Employer,Reason1,allegationtype2,Information from employer
"Sheldon, Brandon",59N4599N,2019-03-13 05:26:14,Member fo the public,Reason2,allegationtype2,Information from employer
"Pham, Ross",81J8717U,2019-02-12 02:33:52,Employer,Reason2,allegationtype1,Information from employer
"al-Javed, Rafeeda",92Y0908C,2019-09-12 07:39:14,Employer,Reason2,allegationtype2,Information from employer
"Derock, Justin",46W4597F,2019-05-27 11:57:57,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Jafri, Rayyana",92Y0174M,2019-10-08 16:45:32,Member fo the public,Reason2,allegationtype2,Information from employer
"Borum, Marcus",74T5159E,2019-07-11 08:17:51,Member fo the public,Reason2,allegationtype1,Information from employer
"Singer, Chandler",81T2735R,2019-12-29 08:12:13,Employer,Reason2,allegationtype1,
"el-Bashir, Radwa",07O5255W,2019-07-21 23:09:46,Employer,Reason1,allegationtype1,Information from employer
"Piller, Stephen",62Q5339I,2019-09-07 06:22:40,Member fo the public,Reason2,allegationtype1,
"Liu, Ivy",05C5621W,2019-09-22 00:48:23,Employer,Reason1,allegationtype1,
"Nawaz, Nicole",45Q4693O,2019-01-06 02:28:42,Member fo the public,Reason2,allegationtype2,Information from employer
"Benavides, Kyrie",49A5556L,2019-08-28 21:23:55,Member fo the public,Reason1,allegationtype1,
"Wong, Julia",35S4799Q,2019-10-30 01:27:47,Member fo the public,Reason2,allegationtype1,Information from employer
"Gamez, Nicolas",78B0405B,2019-06-15 12:44:31,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Rashed, Waliyya",77L8923H,2019-12-04 12:59:44,Member fo the public,Reason1,allegationtype2,Information from employer
"Folsom, Ina",52T4847C,2019-08-17 06:45:58,Employer,Reason1,allegationtype1,Information from employer
"el-Qadir, Atiyya",68D4276O,2019-03-13 18:42:00,Employer,Reason2,allegationtype1,
"Sandoval, Salvador",53W2973E,2019-01-20 21:28:33,Member fo the public,Reason1,allegationtype2,Information from employer
"Dizayee, April",79B5136J,2019-01-24 16:02:10,Employer,Reason2,allegationtype1,
"Clark, Kristi",92O6114V,2019-12-20 18:57:29,Member fo the public,Reason1,allegationtype1,Information from employer
"Bunting, Cody",62D0536Z,2019-06-11 18:48:34,Employer,Reason2,allegationtype2,Information from employer
"Kumar, Steven",29P6801Y,2019-12-17 03:10:33,Employer,Reason1,allegationtype1,Information from employer
"Hoffman, Robert",02Y8648B,2019-04-22 19:37:47,Employer,Reason1,allegationtype2,Information from employer
"Young, Samantha",49L2991Z,2019-09-15 18:45:34,Member fo the public,Reason1,allegationtype2,Information from employer
"Dorado, Brianna",94X3655E,2019-02-21 21:34:36,Member fo the public,Reason1,allegationtype2,Information from employer
"Deherrera, Maria",19N0232L,2019-01-19 16:50:11,Member fo the public,Reason2,allegationtype1,
"Reish, Bryce",84W8856G,2019-07-16 19:33:27,Employer,Reason2,allegationtype2,
"al-Mahfouz, Radiyya",41B6626D,2019-09-18 10:16:59,Member fo the public,Reason1,allegationtype1,Information from employer
"Baum-Flint, Whitney",26Q6719A,2019-06-17 00:02:12,Member fo the public,Reason2,allegationtype1,Information from employer
"Boehler, Anna Marie",62U0139Q,2019-11-21 02:18:49,Employer,Reason2,allegationtype1,
"Noon, Yihang",52I8567G,2019-04-01 23:09:50,Employer,Reason1,allegationtype2,
"al-Fares, Ameer",19R0831I,2019-04-27 19:42:23,Member fo the public,Reason2,allegationtype2,Information from employer
"Brown, Thaine",29Q6520W,2019-10-01 22:15:34,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Sharaf, Usaama",82Q8761J,2019-09-30 20:18:33,Member fo the public,Reason1,allegationtype2,Information from employer
"Kennedy, Taylor",23B1738R,2019-05-24 18:32:09,Employer,Reason1,allegationtype2,Information from employer
"Candelaria, Carlos",38I2914F,2019-05-14 19:40:47,Member fo the public,Reason2,allegationtype1,
"Dennis, Jada",27T2507U,2019-07-28 19:05:25,Employer,Reason1,allegationtype2,
"Preston, Quincy",36F3448L,2019-10-12 14:44:03,Employer,Reason2,allegationtype1,Information from employer
