name,pin,joined,scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
"Alarcon, Mayra",69E7566Q,2019-02-03 23:22:06,Direct clinical care or management – children’s and neo-natal nursing,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
"Weaver, Alex",09R9759M,2019-02-01 21:35:04,Other,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
"Miranda, Odaliz",63P7858E,2019-10-10 04:23:03,Other,Public health organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
"Burks, Darshay",69I2489U,2019-11-11 14:25:21,Direct clinical care or management – midwifery,Inspectorate or regulator,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
"Completo, Danielle",31V4355Y,2019-11-01 02:27:46,Direct clinical care or management – school nursing,Insurance or legal,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Scotland
"Alvarez-Martinon, Romina",86O5824U,2019-04-05 00:10:47,Direct clinical care or management – learning disabilities nursing,Other,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
"Hardy, Jennifer",04P6477K,2019-06-02 18:29:35,Direct clinical care or management – school nursing,Trade union or professional body,Self employed,TRUE,testpostcode1,Test organisation 2,England
"Mayer, Angelique",42J1794G,2019-08-01 15:17:12,Research,Specialist or other tertiary care including hospice,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
"Lee, Jessica",54M8891U,2019-07-21 23:09:46,Research,Private domestic setting,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
"el-Azzi, Abbaad",06G9922L,2019-12-09 13:57:16,Direct clinical care or management – adult and general care nursing,Occupational health,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
"Lamb, Renee",23N7653T,2019-10-22 09:56:11,Quality assurance or inspection,University or other research facility,Volunteering,TRUE,testpostcode2,Test organisation 1,England
"English, Audrey",25M4957A,2019-11-28 10:48:13,Direct clinical care or management – school nursing,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
"Hamlin, Caitlyn",23U7893G,2019-09-10 05:03:06,Direct clinical care or management – learning disabilities nursing,Military,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
"al-Salman, Maleeka",12H3279G,2019-09-02 10:31:35,Direct clinical care or management – children’s and neo-natal nursing,Military,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
"Gallegos, Tessa",25G7438C,2019-09-15 09:59:31,Education,Military,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Tutt, Howard",34M0047Z,2019-09-16 05:22:53,Direct clinical care or management – school nursing,Consultancy,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
"Cole, Anthony",38I3869Y,2019-09-29 20:44:09,Direct clinical care or management – mental health nursing,Inspectorate or regulator,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
"Shot At, Kimberly",56K2549K,2019-10-13 22:27:59,Direct clinical care or management – school nursing,GP practice or other primary care,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"al-Assaf, Iffat",70R4459G,2019-08-29 09:59:21,Direct clinical care or management – adult and general care nursing,Private domestic setting,Self employed,FALSE,testpostcode1,Test organisation 1,England
"Wallace, Joylensia",39G0820T,2019-10-31 18:00:23,Direct clinical care or management – midwifery,Governing body or other leadership,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
"Cabral, Jordan",37K3045C,2019-08-25 14:47:27,Direct clinical care or management – mental health nursing,Police,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
"el-Salam, Fikra",11I9015M,2019-11-18 09:32:14,Research,Hospital or other secondary care,Self employed,FALSE,testpostcode1,Test organisation 1,England
"Gabaldon, Isaura",56A3355D,2019-04-04 01:35:31,Education,University or other research facility,Self employed,TRUE,testpostcode1,Test organisation 2,England
"Gutierrez, Pedro",36Z7743J,2019-09-18 16:25:23,Direct clinical care or management – school nursing,School,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
"Shaddrick, Rachel",38F9899D,2019-04-12 21:56:33,Education,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
"el-Jabbour, Sitaara",95Y9648R,2019-03-02 13:01:06,Education,Police,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Andrade, Cristian",53B2834C,2019-10-11 01:08:16,Direct clinical care or management – children’s and neo-natal nursing,Care home sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
"Jones, Laken",58H8827C,2019-08-15 11:32:07,Other,Governing body or other leadership,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
"Hamilton, Michele",43N5811P,2019-02-14 06:43:31,Direct clinical care or management – other,GP practice or other primary care,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
"el-Pasha, Hudhaifa",45S4474K,2019-08-23 16:42:11,Direct clinical care or management – school nursing,Occupational health,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
"al-Sala, Ayyoob",56W8797N,2019-04-12 09:27:28,Direct clinical care or management – school nursing,Police,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
"Lobjhanidze, Ashley",02F4691X,2019-07-11 12:21:10,Commissioning,Military,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"el-Bina, Warda",92Q1713O,2019-05-22 17:46:18,Other,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
"al-Shaikh, Himma",44G1220R,2019-12-04 06:24:41,Direct clinical care or management – children’s and neo-natal nursing,Policy organisation,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
"Wienski, Dillon",83M3509S,2019-09-25 10:53:04,Direct clinical care or management – health visiting,School,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Northern Ireland
"el-Mansur, Adham",19H5519Y,2019-04-01 02:17:24,Research,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
"al-Naim, Shaqeeqa",92T2275U,2019-06-19 01:17:25,Direct clinical care or management – learning disabilities nursing,Ambulance service,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
"al-Uddin, Mubaaraka",52P2637U,2019-02-14 10:45:33,Direct clinical care or management – adult and general care nursing,Policy organisation,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Harrington, Tashon",90X3033K,2019-07-18 23:33:31,Direct clinical care or management – children’s and neo-natal nursing,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
"el-Bagheri, Marjaana",60T8192N,2019-06-08 06:33:57,Direct clinical care or management – other,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
"Albright, Morgan",25M9394H,2019-11-11 20:43:52,Direct clinical care or management – public health,Other,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Tow, Thomas",03Q5580V,2019-10-23 11:52:10,Direct clinical care or management – learning disabilities nursing,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
"Cuevas, Ammi",94A0485R,2019-05-11 21:57:19,Direct clinical care or management – school nursing,School,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
"Smith, Tristan",09N5008I,2019-11-11 03:26:21,Education,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
"O'Neill, Makenzie",11A0539X,2019-12-08 06:09:52,Education,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
"Brown, Efrain",71J4124F,2019-12-05 16:52:48,Direct clinical care or management – learning disabilities nursing,Occupational health,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
"Box, Julian",25P9890H,2019-04-22 16:40:25,Direct clinical care or management – school nursing,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
"Favors, Vivian",92G4782S,2019-12-25 19:35:57,Direct clinical care or management – children’s and neo-natal nursing,Consultancy,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
"el-Rehman, Humaidaan",06G0882S,2019-07-23 23:49:06,Direct clinical care or management – learning disabilities nursing,Insurance or legal,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
"Roseveare, Tomasina",71S9340C,2019-03-04 22:39:36,Direct clinical care or management – children’s and neo-natal nursing,Hospital or other secondary care,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Holmes, Breylin",07P9852M,2019-07-19 15:29:31,Direct clinical care or management – children’s and neo-natal nursing,Public health organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
"el-Ozer, Haitham",74M5651B,2019-11-04 06:28:57,Other,"Community setting, including district nursing and community psychiatric nursing",Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
"Pham, Ross",77G6421F,2019-11-24 12:16:16,Research,Policy organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
"Keelick, Travis",56P2120D,2019-11-20 10:04:37,Direct clinical care or management – adult and general care nursing,Insurance or legal,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Barner, Brady",45Q5221M,2019-04-06 06:51:05,Commissioning,Other,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
"Morrison, Katurah",61S6404G,2019-10-15 20:46:59,Policy,Voluntary or charity sector,Self employed,FALSE,testpostcode2,Test organisation 1,England
"al-Shaikh, Himma",90S0798H,2019-07-23 03:10:15,Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Northern Ireland
"Dewberry, Jaliya",69E5468O,2019-07-28 11:55:47,Direct clinical care or management – other,Private domestic setting,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Garcia, Gage",99G0598D,2019-12-13 16:39:45,Direct clinical care or management – occupational health,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
"Orchard, Sarah",81W9237R,2019-09-24 18:41:16,Research,Cosmetic or aesthetic sector,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
"Pando, Briannah",01H8739P,2019-11-24 01:49:58,Policy,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
"Wang, Alec",78I7134O,2019-10-29 15:46:26,Direct clinical care or management – public health,Consultancy,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Mangisel, Macie",49Q3437H,2019-01-14 16:47:48,Direct clinical care or management – occupational health,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
"Valdez, Tilden",77E8235C,2019-06-26 21:53:48,Direct clinical care or management – children’s and neo-natal nursing,Prison,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
"Salazar, Orin",21Q0550Q,2019-11-26 02:22:22,Policy,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode1,Test organisation 1,England
"Young, Samantha",94Z6774E,2019-05-23 03:18:47,Direct clinical care or management – mental health nursing,Military,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
"Smith, Cheanna",10Y4043G,2019-04-07 13:09:16,Direct clinical care or management – midwifery,Public health organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
"Colon, Jamall",30K5412L,2019-02-23 22:15:21,Policy,Governing body or other leadership,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
"Chavez, David",77D5268J,2019-12-27 10:24:54,Other,Care home sector,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
